"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43253768986662e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.84062941285098e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.32379556200523e-08
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32706065431639e-06,0,0,0,0,0,0,0,0,0,-7.97272318429053e-06,0,0,2.00797885478279e-07,0,0,-8.19537201533785e-11,0,0,0,0,0,0,0,-4.29599544674374e-08,0,-9.21029943182295e-08,-9.06475959346686e-08
"9",0,0,0.000126274503730443,0,0,0,0,0,0,0,0,0,0,4.34728462522551e-05,0,0,0,0,0,0,0,0,3.59066516976887e-05,0,4.05535557766391e-05,4.34535302333074e-05,0,0,0,7.19304037947242e-06,0,0,-3.28145927553999e-07,0,-8.02070883975087e-08,-9.09699989588417e-09,0,0,-2.26874165255143e-06,-1.39502032083812e-05,-2.27740995194515e-06,-1.19523528614364e-06,6.59943673980204e-07,-6.42590059380002e-07,2.61312887550444e-08,3.55856306759199e-08,0,0,5.83385459793144e-09,4.97713732009866e-09,0,0,-6.4622129733171e-08,-4.66161456191113e-08,0,-1.09651329316364e-07,-1.55876909525034e-07
