"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.000212597748921183,0.00015618375781633,0.000140784228738889,0.000141673564274759,0.000144815835597799,0.000136961204425853,0.000115141347890157,8.91417977790813e-05,6.62212620665734e-05,4.91846010088385e-05,3.80540180634767e-05,3.13930054461396e-05,2.70884091953849e-05,2.38341843872436e-05,2.08464080031059e-05,1.76695005744988e-05,1.43276813003644e-05,1.15690800385645e-05,9.81933737912796e-06,9.24730506401854e-06,1.01996915355433e-05,1.37153928331798e-05,2.10259835297927e-05,3.27044139953151e-05,4.59216480332284e-05,5.17903278582983e-05,4.2085294918435e-05,2.5044270734774e-05,1.22226309731921e-05,5.49273457150417e-06,2.55193400069791e-06,1.37329733466659e-06,8.83832395906674e-07,6.32345028199608e-07,4.64280215734528e-07,3.22932048772878e-07,1.96494005542552e-07,1.0249345734948e-07,5.10722394931443e-08,2.75513083387809e-08,1.82345379992788e-08,1.67791142750856e-08,2.3114375605474e-08,4.22890458479266e-08,8.70734353062368e-08,1.70975951965862e-07,2.71303519323582e-07,3.0319334284236e-07,2.5182569423447e-07,1.77678784754205e-07,1.21753250022053e-07,9.2638027398922e-08,8.84909355720106e-08,1.03667146003845e-07,1.31222360207487e-07,1.57778645937957e-07,1.5842058484184e-07
"11",0.000257969431712568,0.000198423668683915,0.000182465504631101,0.000184556730821148,0.000188903747099701,0.000180200572594665,0.000154893205852846,0.000124258165742418,9.68629666177863e-05,7.63932068186413e-05,6.34617646589514e-05,5.67183941809327e-05,5.32086862428595e-05,5.07762058473089e-05,4.77671499298576e-05,4.29301157950915e-05,3.61882249715326e-05,2.96731962006073e-05,2.4903404874909e-05,2.25089921799664e-05,2.30548264004704e-05,2.78337435540061e-05,3.7716210878968e-05,5.24386495855873e-05,6.83701653093981e-05,7.64008384938462e-05,6.73019490331553e-05,4.73357682871828e-05,2.90165387095156e-05,1.69555973060798e-05,1.03302021638889e-05,7.16381961806147e-06,5.75303904973777e-06,4.9708013067441e-06,4.26770977359369e-06,3.36252663004757e-06,2.24615454572712e-06,1.2462996578535e-06,6.39021845823921e-07,3.42476729634974e-07,2.1701028006393e-07,1.8389717251839e-07,2.24813715948414e-07,3.57345201762561e-07,6.37910912204866e-07,1.10465982588319e-06,1.60281378040046e-06,1.72521944138114e-06,1.44333988673179e-06,1.05492621269526e-06,7.57307784196408e-07,6.003261913738e-07,5.85043746614413e-07,6.85998595390858e-07,8.64801652695073e-07,1.04535148066629e-06,1.08057484601027e-06
"12",0.000318804538561937,0.000254844586940814,0.000236663392947556,0.00023844560966309,0.000243415349339694,0.000235326624574609,0.000209630828002896,0.000177208732269346,0.000147034302796515,0.000123854983971771,0.000109547630138474,0.00010347055680028,0.000101947508057482,0.00010175019371169,9.98953904836192e-05,9.3682829550756e-05,8.24140077015831e-05,7.00261549121698e-05,5.9918376012219e-05,5.38297821252521e-05,5.2938346327648e-05,5.89086288197156e-05,7.17699371052091e-05,8.98467421108697e-05,0.00010844953314856,0.000118437189160942,0.000110309230561464,8.84430297526237e-05,6.49858926093584e-05,4.66510431827171e-05,3.4879760833616e-05,2.89135883638496e-05,2.67528239762486e-05,2.58899559081651e-05,2.44393013866978e-05,2.09866837538633e-05,1.5293938263401e-05,9.29150307142961e-06,5.17003186932663e-06,2.93722006265985e-06,1.89937706326987e-06,1.55852095954484e-06,1.7375628478879e-06,2.41949897195008e-06,3.73087248800595e-06,5.64856868743655e-06,7.44479023166076e-06,7.72823407337834e-06,6.56173763302215e-06,5.01234590338919e-06,3.78968078288738e-06,3.12003518129265e-06,3.05278951939066e-06,3.48696922531706e-06,4.23976068656724e-06,4.99603965443078e-06,5.19458721013859e-06
"13",0.000398190734750871,0.00032883912024301,0.000306554168592153,0.000306261930978244,0.000311294515328694,0.000305805449332459,0.000284160191853896,0.000254982008592936,0.000226286675220295,0.000203416617167814,0.000189691960825703,0.000185629853390594,0.000187217443510245,0.000190293445032214,0.000190616201838123,0.000184006725097457,0.000168762010021431,0.000150074620069157,0.000133264580199933,0.000121697178907411,0.000117703113500471,0.000123471487428219,0.000137772527060376,0.00015719617776715,0.000176288546692149,0.000186779116180505,0.000180220647371308,0.000159361484611636,0.000134373612735389,0.00011251934081107,9.74436801252933e-05,9.07968372353686e-05,9.10118342375156e-05,9.32287279811349e-05,9.24013508617233e-05,8.38948838714308e-05,6.60798894144052e-05,4.45492977938774e-05,2.77178816871435e-05,1.73609076755113e-05,1.19405308265077e-05,9.83692086354938e-06,1.02610535246482e-05,1.27203184051749e-05,1.71013138383382e-05,2.27529990511801e-05,2.73386905169052e-05,2.74892394843274e-05,2.37971592770796e-05,1.90608503795622e-05,1.51828947047021e-05,1.2927139381045e-05,1.2569298391449e-05,1.37730613409844e-05,1.58696759500588e-05,1.79192402226544e-05,1.84791037605258e-05
